Period,Date,Deposit,Return (%),Value Before Return,Value After Return
1,2026-03-01,500.00,0.8000,10500.00,10584.00
2,2026-04-01,500.00,0.8000,11084.00,11172.67
3,2026-05-01,500.00,0.8000,11672.67,11766.05
4,2026-06-01,500.00,0.8000,12266.05,12364.18
5,2026-07-01,500.00,0.8000,12864.18,12967.10
6,2026-08-01,500.00,0.8000,13467.10,13574.83
7,2026-09-01,500.00,0.8000,14074.83,14187.43
8,2026-10-01,500.00,0.8000,14687.43,14804.93
9,2026-11-01,500.00,0.8000,15304.93,15427.37
10,2026-12-01,500.00,0.8000,15927.37,16054.79
11,2027-01-01,500.00,0.8000,16554.79,16687.23
12,2027-02-01,500.00,0.8000,17187.23,17324.72
13,2027-03-01,500.00,0.8000,17824.72,17967.32
14,2027-04-01,500.00,0.8000,18467.32,18615.06
15,2027-05-01,500.00,0.8000,19115.06,19267.98
16,2027-06-01,500.00,0.8000,19767.98,19926.13
17,2027-07-01,500.00,0.8000,20426.13,20589.53
18,2027-08-01,500.00,0.8000,21089.53,21258.25
19,2027-09-01,500.00,0.8000,21758.25,21932.32
20,2027-10-01,500.00,0.8000,22432.32,22611.78
21,2027-11-01,500.00,0.8000,23111.78,23296.67
22,2027-12-01,500.00,0.8000,23796.67,23987.04
23,2028-01-01,500.00,0.8000,24487.04,24682.94
24,2028-02-01,500.00,0.8000,25182.94,25384.40
25,2028-03-01,500.00,0.8000,25884.40,26091.48
26,2028-04-01,500.00,0.8000,26591.48,26804.21
27,2028-05-01,500.00,0.8000,27304.21,27522.64
28,2028-06-01,500.00,0.8000,28022.64,28246.82
29,2028-07-01,500.00,0.8000,28746.82,28976.80
30,2028-08-01,500.00,0.8000,29476.80,29712.61
31,2028-09-01,500.00,0.8000,30212.61,30454.31
32,2028-10-01,500.00,0.8000,30954.31,31201.95
33,2028-11-01,500.00,0.8000,31701.95,31955.56
34,2028-12-01,500.00,0.8000,32455.56,32715.21
35,2029-01-01,500.00,0.8000,33215.21,33480.93
36,2029-02-01,500.00,0.8000,33980.93,34252.78
37,2029-03-01,500.00,0.8000,34752.78,35030.80
38,2029-04-01,500.00,0.8000,35530.80,35815.05
39,2029-05-01,500.00,0.8000,36315.05,36605.57
40,2029-06-01,500.00,0.8000,37105.57,37402.41
41,2029-07-01,500.00,0.8000,37902.41,38205.63
42,2029-08-01,500.00,0.8000,38705.63,39015.28
43,2029-09-01,500.00,0.8000,39515.28,39831.40
44,2029-10-01,500.00,0.8000,40331.40,40654.05
45,2029-11-01,500.00,0.8000,41154.05,41483.28
46,2029-12-01,500.00,0.8000,41983.28,42319.15
47,2030-01-01,500.00,0.8000,42819.15,43161.70
48,2030-02-01,500.00,0.8000,43661.70,44010.99
49,2030-03-01,500.00,0.8000,44510.99,44867.08
50,2030-04-01,500.00,0.8000,45367.08,45730.02
51,2030-05-01,500.00,0.8000,46230.02,46599.86
52,2030-06-01,500.00,0.8000,47099.86,47476.66
53,2030-07-01,500.00,0.8000,47976.66,48360.47
54,2030-08-01,500.00,0.8000,48860.47,49251.36
55,2030-09-01,500.00,0.8000,49751.36,50149.37
56,2030-10-01,500.00,0.8000,50649.37,51054.56
57,2030-11-01,500.00,0.8000,51554.56,51967.00
58,2030-12-01,500.00,0.8000,52467.00,52886.73
59,2031-01-01,500.00,0.8000,53386.73,53813.83
60,2031-02-01,500.00,0.8000,54313.83,54748.34
